Personal Fan Duration [mins],Personal Heater Duration [mins],Cooling Setpoint Up Duration [mins],Cooling Setpoint Down Duration [mins],In-Office Duration [mins],Occupant #
101,0,0,0,240,9
108,0,0,59,240,9
102,0,0,0,240,9
80,0,0,0,180,9
0,17,0,0,180,9
143,0,0,0,240,9
73,0,0,30,180,9
70,0,0,20,240,9
78,0,33,0,240,9
146,0,0,0,180,9
108,0,0,0,240,9
120,0,0,0,240,9
30,0,0,0,180,9
97,0,0,0,180,9
49,0,0,24,240,9
110,0,0,0,180,9
44,0,0,50,180,9
59,0,0,0,180,9
34,0,0,0,240,9
37,0,0,0,180,9
12,14,0,0,240,9
110,0,0,0,180,9
118,0,0,0,180,9
67,0,0,0,180,9
95,0,0,0,180,9
36,0,7,0,180,9
149,0,0,0,180,9
74,0,0,0,180,9
68,0,0,0,180,9
18,0,0,0,180,9
64,0,0,0,180,9
63,0,0,0,240,9
46,0,0,0,180,9
97,0,10,0,240,9
69,0,0,0,180,9
24,0,49,0,180,9
93,0,0,0,180,9
49,0,32,0,180,9
59,0,0,0,180,9
102,0,0,0,180,9
49,0,0,0,180,9
82,0,0,0,180,9
121,0,0,0,240,9
34,0,56,0,240,9
0,0,0,0,240,9
122,0,0,0,240,9
0,0,0,0,180,9
115,0,0,0,240,9
63,0,0,0,180,9
32,0,0,0,180,9
56,0,0,0,240,9
28,0,0,0,180,9
104,0,0,52,240,9
115,0,0,0,240,9
87,0,0,0,180,9
0,0,0,45,180,9
25,0,0,48,180,9
108,0,0,0,240,9
14,0,0,0,180,9
74,0,0,0,180,9
81,0,0,0,180,9
41,19,0,0,180,9
39,0,0,0,180,9
48,0,0,45,240,9
72,0,0,0,180,9
24,0,0,0,240,9
84,0,0,0,180,9
141,0,0,0,180,9
122,0,0,0,240,9
34,0,0,50,240,9
37,0,0,0,180,9
61,0,0,50,180,9
112,0,0,0,240,9
94,0,0,0,180,9
44,0,0,0,180,9
21,0,45,0,240,9
0,0,0,0,240,9
91,0,0,39,180,9
20,0,0,0,180,9
90,0,0,0,180,9
99,0,0,0,180,9
21,0,0,0,240,9
27,0,0,0,180,9
76,0,0,0,240,9
127,0,0,0,240,9
127,0,0,0,240,9
0,0,0,0,180,10
0,180,0,0,180,10
0,0,0,56,180,10
0,0,0,0,180,10
0,0,0,22,240,10
0,0,0,57,180,10
0,0,0,0,180,10
0,0,0,0,180,10
0,0,0,0,180,10
0,0,0,0,180,10
0,0,0,0,240,10
0,0,0,0,240,10
0,0,0,0,300,10
0,180,0,0,180,10
0,0,0,0,240,10
0,0,0,59,180,10
0,0,0,0,180,10
0,0,0,0,180,10
0,0,0,0,180,10
0,0,0,0,240,10
0,0,0,30,180,10
0,240,0,20,240,10
0,0,33,0,180,10
0,0,0,0,180,10
0,0,0,0,240,10
0,0,0,0,180,10
0,0,0,0,180,10
0,0,0,0,240,10
0,0,0,24,240,10
0,0,0,0,180,10
0,180,0,50,180,10
0,0,0,0,240,10
0,0,0,0,240,10
0,0,0,0,180,10
0,0,0,0,240,10
0,0,0,0,240,10
0,0,0,0,180,10
0,0,0,0,240,10
0,0,0,0,240,10
0,0,7,0,240,10
0,0,0,0,180,10
0,0,0,0,180,10
0,0,0,0,180,10
0,0,0,0,300,10
0,0,0,0,180,10
0,0,0,0,240,10
0,0,0,0,240,10
0,0,10,0,240,10
0,0,0,0,240,10
0,0,49,0,180,10
0,0,0,0,240,10
0,0,32,0,240,10
0,0,0,0,180,10
0,0,0,0,180,10
0,0,0,0,180,10
0,0,0,0,240,10
0,0,0,0,180,10
0,0,56,0,300,10
0,0,0,0,180,10
0,240,0,0,240,10
0,0,0,0,180,10
0,32,0,0,240,10
0,0,0,0,180,10
0,0,0,0,180,10
0,87,0,0,240,10
0,27,0,0,240,10
0,0,0,52,240,10
0,0,0,0,240,10
0,0,0,0,240,10
