Personal Fan Duration [mins],Personal Heater Duration [mins],Cooling Setpoint Up Duration [mins],Cooling Setpoint Down Duration [mins],In-Office Duration [mins],Cool Duration [mins],Warm Duration [mins],Occupant #
0,0,0,0,180,3,6,5
0,0,0,0,240,6,9,5
0,0,0,0,240,4,5,5
10,0,0,0,180,6,4,5
19,0,7,0,180,6,8,5
32,0,0,0,180,3,5,5
21,0,0,0,180,7,10,5
0,0,0,0,240,4,8,5
31,0,0,0,180,4,8,5
0,0,0,0,180,1,13,5
0,0,0,0,240,9,8,5
53,0,5,0,180,4,7,5
33,0,0,0,180,3,5,5
0,0,0,0,240,3,18,5
0,0,0,0,180,1,9,5
0,0,0,0,180,3,5,5
0,39,0,0,180,4,10,5
11,0,0,59,180,6,8,5
44,0,0,0,240,10,14,5
68,0,0,0,240,10,13,5
0,0,0,0,180,2,3,5
0,26,0,57,240,6,8,5
0,0,0,0,240,3,13,5
1,0,0,0,180,4,10,5
0,0,0,39,240,3,14,5
18,0,0,31,180,4,6,5
0,0,0,0,180,3,6,5
0,0,0,0,180,5,11,5
78,0,0,0,240,8,12,5
0,0,7,0,240,4,6,5
0,0,0,0,240,7,10,5
0,0,0,0,240,4,4,5
0,0,0,0,180,2,10,5
0,0,0,0,180,3,7,5
8,0,31,0,180,3,6,5
0,0,0,0,240,6,16,5
0,0,0,42,240,3,6,5
0,0,22,53,180,4,5,5
0,0,0,0,240,4,16,5
0,26,0,4,180,4,5,5
0,0,0,0,180,6,8,5
0,0,0,0,180,4,12,5
0,0,0,0,180,2,5,5
0,0,0,0,180,7,9,5
15,0,0,0,240,6,12,5
106,0,0,0,180,2,5,5
0,0,0,0,240,4,11,5
37,0,0,20,180,3,6,5
65,0,0,0,180,4,7,5
24,0,0,0,240,8,12,5
56,0,0,0,180,6,6,5
0,0,0,0,240,7,8,5
0,0,0,0,180,6,10,5
24,0,0,0,180,5,7,5
10,0,0,0,240,7,12,5
30,0,0,0,240,6,8,5
0,0,0,0,180,1,0,6
0,0,0,0,180,0,0,6
0,0,0,0,240,1,0,6
0,0,0,0,180,0,0,6
0,0,0,0,240,1,0,6
0,0,0,56,240,0,0,6
0,0,0,0,180,0,0,6
0,0,53,0,180,0,0,6
0,0,0,57,180,0,0,6
0,0,0,0,180,0,0,6
0,0,0,0,240,1,0,6
0,0,0,56,240,0,0,6
0,0,0,0,180,0,0,6
0,0,53,0,180,0,0,6
0,0,0,57,180,0,0,6
0,0,0,0,240,0,0,6
0,0,0,0,180,0,0,6
0,0,0,0,180,0,0,6
0,0,0,0,180,0,0,6
0,0,0,0,180,0,0,6
0,0,0,0,180,1,0,6
0,0,0,0,180,1,0,6
0,0,0,0,180,0,0,6
0,0,0,0,240,0,0,6
0,0,0,59,180,0,0,6
0,0,0,0,180,0,0,6
0,0,0,0,240,1,0,6
0,0,0,0,180,0,0,6
0,0,0,0,180,1,0,6
0,0,0,30,240,0,0,6
0,0,0,9,180,0,0,6
0,0,33,0,240,0,0,6
0,0,0,0,180,0,0,6
0,0,0,0,180,0,0,6
0,0,0,0,180,0,0,6
0,0,0,0,180,0,0,6
0,0,0,0,180,0,0,6
0,0,0,21,180,1,0,6
0,0,0,0,180,0,0,6
0,0,20,0,240,0,0,6
0,0,0,0,240,1,0,6
0,0,0,0,180,0,0,6
0,0,0,0,240,0,0,6
0,0,0,0,240,0,0,6
0,0,0,0,180,0,0,6
0,0,0,0,180,0,0,6
0,0,0,0,240,0,0,6
