Energy Use (HVAC) [kWh],Energy Use (HVAC and Personal Equipment) [kWh],Occ#1 Cool Duration [mins],Occ#1 Warm Duration [mins],Occ#2 Cool Duration [mins],Occ#2 Warm Duration [mins],Occ#3 Cool Duration [mins],Occ#3 Warm Duration [mins],Occ#4 Cool Duration [mins],Occ#4 Warm Duration [mins],Occ#5 Cool Duration [mins],Occ#5 Warm Duration [mins],Occ#6 Cool Duration [mins],Occ#6 Warm Duration [mins],Occ#7 Cool Duration [mins],Occ#7 Warm Duration [mins]
8.94360166666667,22.3706016666667,0,51,1,36,0,1,13,38,1,14,1,0,7,0
8.94306166666667,23.0600616666667,0,52,2,20,0,3,9,28,9,7,0,0,12,0
8.49277833333333,18.2782783333333,0,52,1,26,0,3,10,26,9,11,0,0,8,0
8.37598,18.14773,0,59,3,22,0,5,10,45,8,8,0,0,10,0
8.56939166666667,17.2146416666666,0,71,1,27,0,2,7,19,2,9,0,0,9,0
8.52973666666667,18.6669866666667,0,66,1,23,0,1,11,32,2,3,0,0,9,0
7.9989,16.22965,0,72,1,21,0,2,11,32,7,12,1,0,9,0
8.48673333333334,18.8739833333333,0,60,2,23,0,1,11,28,2,10,1,0,9,0
8.2193,18.02505,0,50,0,32,0,1,11,29,2,7,0,0,12,0
8.447175,17.065425,0,50,2,16,0,2,10,38,10,7,0,0,16,0
8.20458833333334,15.6828383333333,0,65,3,27,0,6,5,23,3,10,0,0,3,0
8.78390333333333,20.5251533333333,0,50,3,17,0,1,6,26,5,12,0,0,13,0
7.61104833333333,11.8147983333333,0,65,1,33,0,1,12,27,4,9,0,0,7,0
7.62547333333333,11.6419733333333,0,56,1,20,0,3,11,44,3,6,0,0,11,0
8.32033333333333,17.3920833333333,0,54,1,17,0,1,11,43,2,4,0,0,9,0
